date,FEX,ITOT,IVV,IWB,IWV,IYY,MGC,RSP,SCHB,SPY,VONE,VOO,VTI,VV
2021-07-12,84.6410306897039,99.1152556170557,433.165314539681,243.528974965461,257.081147688147,108.700657938213,153.464640062762,150.055155718399,52.2801909898471,427.179471267323,199.449427927635,396.128884198274,223.407774205884,201.901727718236
2021-07-13,83.8483467394362,98.5528295772178,431.645886290151,242.412730525795,255.667962321829,108.196498829915,153.119310089623,148.638148542621,51.9941835311213,425.723222040206,198.667004829797,394.788146349213,222.165030859015,201.112586707026
2021-07-14,83.5156152047559,98.4738925891703,432.218138488026,242.363339178907,255.322077791611,108.147071466356,153.336374644167,148.42166133521,51.9350095741435,426.35849854868,198.51052021023,395.33035650876,221.859276543515,201.152043757586
2021-07-15,83.4373254318899,98.1384103899688,430.738175907315,241.661982053099,254.610543900877,107.870278230428,152.872645823096,148.028048230827,51.7624188662917,424.902249321563,197.816119710898,394.05862722546,221.080096191113,200.540459473898
2021-07-16,82.9284419082612,97.3293062624826,427.482258229751,239.834502218247,252.515471889272,107.049783995354,151.807056191697,146.925931538555,51.3580634936104,421.569491023262,196.437099000959,390.992675232387,219.34420072247,199.120005653719
2021-07-19,81.8519575313544,96.0367130832059,421.098686298284,236.406742744227,248.928155190157,105.54719214317,149.59694436361,144.26904308397,50.613457868307,415.343781240218,193.591034982573,385.14666387582,216.22747931286,196.417197690322
2021-07-20,83.3786081022404,97.546382979613,427.205998548018,240.239511262727,253.18747611941,107.237607976877,151.728123626408,147.004654159431,51.466549081403,421.295833450381,196.593583620527,390.588482204361,219.965572395904,199.297562381241
2021-07-21,84.0049262851681,98.4936268361822,430.669110986882,242.294191293264,255.430784358251,108.117415048221,152.91211210574,148.480703300867,51.9300784110621,424.706779626648,198.471399055338,393.871318261253,221.938180882999,200.925165716863
2021-07-22,84.0147125067763,98.5133610831941,431.606420621332,242.689322068367,255.697609567276,108.334895447879,153.415307209456,148.067409541265,51.949803063388,425.596166738511,198.720796417774,394.709279416916,222.125578689273,201.42824311151
2021-07-23,84.8073964570441,99.500073433787,435.858846436575,245.089741527119,258.019977127309,109.471724809728,155.023558227216,149.297450492462,52.4922310023507,429.974687904608,200.789327482683,398.652626031801,224.344763237254,203.558923841779
2021-07-26,84.963976002776,99.6974159039055,437.023083666734,245.524385379732,258.612922036254,109.602410758977,155.41822105366,149.720584579674,52.6007165901433,431.030224257149,201.151198165433,399.668037785134,224.798463189286,204.022544185865
2021-07-27,84.6801755761369,99.1645912345854,435.030067391377,244.398262670688,257.170089424489,109.125733264818,154.648628542094,149.454895734215,52.3245714575804,429.065753823253,200.124267849521,397.893531808436,223.585308969723,202.967068083371
2021-07-28,84.8367551218688,99.3421994576921,434.793273378463,244.467410556331,257.614798106197,109.224587991935,154.579562547466,149.533618355092,52.3985389038026,428.88983109783,200.329653912703,397.676647744617,223.930515454964,203.036117921852
2021-07-29,85.3945697535388,99.7566186449411,436.727091150592,245.484872302222,258.790805508938,109.669434263963,155.053157939199,150.655415702583,52.6303035686322,430.668605321557,201.121857299264,399.392003522092,224.916819698511,203.805530407782
2021-07-30,84.9933346676007,99.2237939756209,434.51701369673,244.141427666871,257.219501500234,109.0268785377,154.066500873089,150.242121942981,52.3393649468249,428.577079585966,199.928662075061,397.440046947724,223.585308969723,202.690868729447
2021-08-02,85.0129071108172,99.0955213700439,433.638902565508,243.756175161146,256.903264215463,108.888481919736,153.819836606561,150.015794407961,52.2555351744397,427.677918989357,199.639165528861,396.631660891672,223.269691611788,202.20751986008
2021-08-03,85.8740946123427,99.8059542624708,437.102015004372,245.652802881641,258.682098942298,109.659548791251,155.023558227216,151.275356341987,52.6303035686322,431.157279558844,201.219660186494,399.835630016266,224.867504486334,203.854851720983
2021-08-04,85.6000804073119,99.2731295931506,435.020200974172,244.506923633842,257.36773772747,109.283900828205,154.441430558211,149.848508838598,52.3837454145582,429.036433369016,200.329653912703,397.923106908047,223.861474157916,202.967068083371
2021-08-05,86.0111017148581,100.013163856095,437.723599288271,246.117081542387,259.294808681541,109.916571081756,155.319555347049,150.980146513699,52.7535826456692,431.753462128335,201.591311157967,400.407415275425,225.459287032462,204.348064852989
2021-08-06,86.1970399254148,100.131569338166,438.483313413036,246.354160007449,259.690105287504,110.017106339235,155.447820765643,151.600087153102,52.8226189288099,432.466926514775,201.855378953487,401.09750093303,225.735452220656,204.535485843152
2021-08-09,86.4319092440126,100.042765226613,438.177454479689,246.275133852428,259.462809739075,109.998620505264,155.447820765643,151.255675686767,52.7733072979951,432.115081063928,201.542409714352,400.713024638078,225.646684838736,204.496028792591
2021-08-10,86.6368327244893,100.072366597131,438.690508174335,246.344281738071,259.680222872355,110.025311281585,155.497153618948,151.964179274657,52.802894276484,432.652622724944,201.777136643703,401.215801331476,225.794630475268,204.476300267311
2021-08-11,87.0190825405073,100.328911808285,439.726481980833,246.83819520695,260.223755705554,110.252677153955,155.605685896221,152.938371708005,52.9360356796839,433.727706046977,202.178128481345,402.181921252123,226.238467384865,204.900463560837
2021-08-12,87.1169447565897,100.624925513463,440.752589370126,247.658091565289,260.846347859946,110.608554171578,156.197680135887,152.859649087128,53.0741082459653,435.027579518162,202.8823092694,403.355066870051,226.869702100735,205.561369157725
2021-08-13,87.0777998701568,100.674261130992,441.867494514261,247.984074454749,261.103290653822,110.727179844118,156.612076103653,152.839968431909,53.1184887136986,435.819231782568,203.009453022798,404.153594559565,226.997921652396,205.92634687541
2021-08-16,87.0680136485485,100.792666613064,443.002132492806,248.319935613587,261.23176205076,110.895232880218,156.94753950613,152.889170069957,53.1678003445134,436.845447680872,203.400664571717,405.119714480212,227.086689034315,206.271596067815
2021-08-17,86.4979662398683,100.003296732589,439.992875245361,246.551725395,259.344220757286,110.124166008703,155.941149298698,151.737851739636,52.7634449718321,433.981816650367,201.914060685825,402.448097148628,225.40010877785,204.949784874037
2021-08-18,85.5707217424872,99.0165843819964,435.247128569881,244.02288843434,256.695733497333,108.957680228718,154.352631422261,150.173239649714,52.2210170328694,429.231903063931,199.772177455493,398.120274238791,223.151335102562,202.779647093208
2021-08-19,85.3456386454975,98.9672487644668,435.888445688189,244.032766703718,256.478320364053,108.987336646853,154.500629982177,149.838668510989,52.1717054020546,429.896500026642,199.860200054,398.682201131413,222.983663381159,202.976932346011
2021-08-20,86.0698190445076,99.8355556329885,439.361424544257,246.166472889275,258.77104067864,109.955816408422,155.812883880104,150.921104548042,52.659890547121,433.317219687655,201.60109144669,401.836878423321,224.98586099556,204.653856994833
2021-08-23,86.6961372274352,100.842002230593,443.189594419696,248.418718307363,261.3404686174,110.924889298353,157.21393691398,152.052742223143,53.1825938337579,437.128878738499,203.498467458947,405.395748743254,227.165593373799,206.498474108538
2021-08-24,87.0680136485485,101.118281688759,443.959174961666,249.139831971926,262.299062886861,111.241224425129,157.431001468524,152.672682862546,53.3354598892838,437.822796155447,203.997262183819,406.036542568173,227.974362853508,206.962094452624
2021-08-25,87.5768971721772,101.453763887961,444.886618178912,249.791797750846,262.921655041253,111.557559551904,157.628332881746,153.479589726531,53.4981882709726,438.741503721548,204.642761239535,406.785778425001,228.625323654249,207.39612200879
2021-08-26,87.0582274269403,100.822267983581,442.262151202451,248.300179074832,261.379998277996,110.855690989371,156.760074663569,152.426674672307,53.1579380183505,436.151530263924,203.332202550657,404.409912089533,227.096552076751,206.242003279895
2021-08-27,87.8704838204245,101.887917322222,446.149519581118,250.611694109186,264.058132783397,111.93320751495,157.963796284224,154.060169055496,53.7200906096392,440.051150677479,205.307820872698,407.998357509078,229.542586600748,208.007706292478
2021-08-30,87.8117664907751,102.233266644929,448.132669439271,251.688425471342,264.977197392261,112.397824732401,158.930720209011,153.833841520476,53.892681317491,441.986300657137,206.129365125427,409.871447151149,230.41053433507,208.964539768571
2021-08-31,87.6943318314761,102.035924174811,447.649214996239,251.12536411682,264.502841465105,112.21988622359,158.634723089178,153.804320537647,53.8236450343502,441.331477179172,205.806615597569,409.171503127007,229.976560467909,208.619290576167
2021-09-01,87.6845456098679,102.223399521423,447.846543340333,251.49086008379,265.026609468007,112.27919905986,158.703789083806,153.833841520476,53.892681317491,441.56604081307,205.904418484799,409.605271254644,230.380945207763,208.786983041049
2021-09-02,88.1836429118883,102.578615967637,449.188376080178,252.310756442129,265.836967510231,112.605419659348,159.029385915622,154.876916247091,54.0702031884242,442.92455519273,206.549917540515,410.827708705258,231.160125560165,209.388703062097
2021-09-03,88.1347118038471,102.519413226601,448.991047736083,252.290999903374,265.718378528442,112.67461796833,159.128051622233,154.375059539002,54.0603408622613,442.817046860526,206.637940139022,410.669974840663,231.081221220682,209.408431587377
2021-09-07,87.4203176264453,102.035924174811,447.540684406986,251.273538157483,264.621430446894,112.170458860031,158.733388795789,153.085976622148,53.8285761974317,441.233742331714,205.855517041184,409.151786393932,230.085053934699,208.648883364087
2021-09-08,87.1365171998062,101.81884745768,446.948699374702,250.819137766115,264.048250368248,111.923322042238,158.506457670584,152.987573346052,53.6855724680688,440.696200670698,205.425184337373,408.757451732444,229.542586600748,208.234584333201
2021-09-09,87.048441205332,101.453763887961,444.955683099345,249.851067367112,263.069891268489,111.468590297498,157.766464871002,152.554598931231,53.5080505971355,438.809918114768,204.496056908691,406.923795556522,228.743680163475,207.494764635192
2021-09-10,86.3927643575797,100.644659760475,441.561635580914,247.875413491596,261.014348917481,110.657981535136,156.513410397042,151.550885515055,53.0889017352098,435.350104514772,202.940991001738,403.778976631151,226.928880355348,205.89675408749
2021-09-13,86.5004127952703,100.871603601111,442.587742970207,248.369326960475,261.538116920382,110.826034571236,156.779807804892,151.974019602266,53.1825938337579,436.464281775788,203.361543416825,404.725379818724,227.441758561992,206.222274754614
2021-09-14,85.9034532771675,100.200639202708,440.229669258274,246.907343092593,259.996460157125,110.22302073582,156.020081863987,150.891583565213,52.8620682334617,434.108871952061,202.285711657298,402.625547746298,226.070795663462,205.11747733892
2021-09-15,86.72549589226,101.128148812265,443.890110041233,249.070684086283,262.279298056563,111.122598752588,157.312602620591,152.229868120115,53.3354598892838,437.734834792735,204.036383338711,405.987250735487,227.934910683766,206.843723300943
2021-09-16,86.72549589226,101.009743330194,443.061330996035,248.823727351844,262.012472847537,111.054685555058,157.095538066047,151.944498619438,53.2812170953875,437.040917375787,203.694073233407,405.287306711345,227.727786792621,206.6365737855
2021-09-17,86.0698190445076,100.22037344972,438.789172346382,246.551725395,259.541869060268,110.161335386099,155.684618461509,150.596373736926,52.8423435811358,432.797384648953,202.002083284332,401.314384996848,225.903123942059,204.811685197075
2021-09-20,84.601885803271,98.4640254656644,431.389359442828,242.383095717662,255.33196020676,108.245926193474,152.872645823096,148.329949481889,51.9202160848991,425.580826536093,198.598542808736,394.758571249602,221.987496095176,201.191500808147
2021-09-21,84.523596030405,98.4442912186526,431.142699012709,242.383095717662,255.312195376462,108.216269775338,152.951578388384,147.796601681115,51.9152849218176,425.178817184697,198.549641365122,394.374094954651,221.967770010305,201.270414909268
2021-09-22,85.4141421967552,99.4408706927514,435.395124827952,244.67485421326,257.743269503135,109.25424441007,154.332898280939,149.455905950189,52.4404537899952,429.326377078366,200.495918820994,398.179424438015,224.206680643157,203.105167760332
2021-09-23,86.481036076486,100.674261130992,440.614459529259,247.658091565289,261.004466502331,110.578897753442,156.029948434648,151.648558020037,53.0884775091245,434.542693540378,202.813847248339,402.990307308174,226.938743397783,205.551504895085
2021-09-24,86.441802307142,100.70041591527,441.455956386234,247.891793637878,261.133575315047,110.680764584095,156.335812125142,151.905355109299,53.1379449686,435.258466287985,203.14637706492,403.660676232705,227.209188021364,205.8235612587
2021-09-27,86.2946756721021,100.532070249957,440.069411900793,247.217824505601,260.558565923692,110.326138021109,155.753684456137,152.409072476696,53.0340633037014,434.013217809272,202.491097720481,402.517105714388,226.714480679391,205.140846821298
2021-09-28,84.5202303690969,98.3930900318733,431.284662196602,241.974741108918,255.323997671363,108.103104355515,152.339851007396,150.127529106719,51.9160987195547,425.267063139882,198.285573569601,394.472678620023,221.96529019645,200.737833420657
2021-09-29,84.7155164560066,98.5119222662113,432.027453885232,242.341459607363,255.561932591924,108.162588822329,152.538662406217,150.453463873859,51.9358857033449,425.982835887489,198.447926362403,395.092178373221,222.113702399042,200.935721663383
2021-09-30,83.6660131260549,97.4226267847795,426.6793537271,239.566292592105,252.657143770082,106.943157252654,150.855777559111,147.974384281373,51.3769034112716,420.776324531608,196.409071083595,390.087506009108,219.709424717053,198.798528641948
2021-10-01,84.1858605698627,98.6703652453286,431.760048877325,242.321636985825,255.760211692391,108.231987366944,152.687152245668,149.969500128712,52.0001934006631,425.776928658725,198.695179264356,394.755896040455,222.737033649928,201.084137845427
2021-10-04,83.4208020676549,97.2839891780518,426.154447600468,239.189662782892,252.468778624638,106.761630488096,150.46970397654,149.02132626067,51.3125957139534,420.286069225028,195.889055059645,389.899583529033,219.382917871351,198.145497440954
2021-10-05,84.3035618778947,98.1950363079766,430.621101621427,241.528732124323,254.848127830242,107.855252410459,152.103092210496,150.088021862217,51.7924300708659,424.659146559723,197.861191301418,393.687705101079,221.431006267119,200.381634583751
